field,ra,dec
SPLUS-d181,118.4625,-23.90861111
SPLUS-d182,120.0,-23.90861111
SPLUS-d184,99.74166667,-25.30027778
SPLUS-d185,101.3,-25.30027778
SPLUS-d186,102.8583333,-25.30027778
SPLUS-d187,104.4166667,-25.30027778
SPLUS-d188,105.975,-25.30027778
SPLUS-d189,107.5333333,-25.30027778
SPLUS-d190,109.0916667,-25.30027778
SPLUS-d191,110.65,-25.30027778
SPLUS-d192,112.2083333,-25.30027778
SPLUS-d194,115.325,-25.30027778
SPLUS-d196,118.4416667,-25.30027778
SPLUS-d197,120.0,-25.30027778
SPLUS-d199,123.1166667,-25.30027778
SPLUS-d200,99.475,-26.68972222
SPLUS-d201,101.0541667,-26.68972222
SPLUS-d202,102.6333333,-26.68972222
SPLUS-d203,104.2125,-26.68972222
SPLUS-d204,105.7875,-26.68972222
SPLUS-d207,110.525,-26.68972222
SPLUS-d208,112.1041667,-26.68972222
SPLUS-d209,113.6833333,-26.68972222
SPLUS-d210,115.2625,-26.68972222
SPLUS-d211,116.8416667,-26.68972222
SPLUS-d212,118.4208333,-26.68972222
SPLUS-d213,120.0,-26.68972222
SPLUS-d214,121.5791667,-26.68972222
SPLUS-d215,123.1583333,-26.68972222
SPLUS-d216,100.3541667,-28.07722222
SPLUS-d217,101.9458333,-28.07722222
SPLUS-d218,103.5416667,-28.07722222
SPLUS-d220,106.725,-28.07722222
SPLUS-d221,108.3166667,-28.07722222
SPLUS-d222,109.9125,-28.07722222
SPLUS-d223,111.5041667,-28.07722222
SPLUS-d224,113.0958333,-28.07722222
SPLUS-d225,114.6916667,-28.07722222
SPLUS-d226,116.2833333,-28.07722222
SPLUS-d227,117.875,-28.07722222
SPLUS-d228,119.4708333,-28.07722222
SPLUS-d229,121.0625,-28.07722222
SPLUS-d230,122.6541667,-28.07722222
SPLUS-d232,101.7041667,-29.46305556
SPLUS-d233,103.3166667,-29.46305556
SPLUS-d235,106.5458333,-29.46305556
SPLUS-d236,108.1625,-29.46305556
SPLUS-d239,113.0041667,-29.46305556
SPLUS-d240,114.6208333,-29.46305556
SPLUS-d242,117.8458333,-29.46305556
SPLUS-d243,119.4625,-29.46305556
SPLUS-d244,121.075,-29.46305556
SPLUS-d245,122.6916667,-29.46305556
SPLUS-d246,124.3041667,-29.46305556
SPLUS-d247,125.9208333,-29.46305556
SPLUS-d248,101.4541667,-30.84722222
SPLUS-d249,103.0916667,-30.84722222
SPLUS-d250,104.7291667,-30.84722222
SPLUS-d251,106.3625,-30.84722222
SPLUS-d252,108.0,-30.84722222
SPLUS-d253,109.6375,-30.84722222
SPLUS-d254,111.2708333,-30.84722222
SPLUS-d255,112.9083333,-30.84722222
SPLUS-d256,114.5458333,-30.84722222
SPLUS-d257,116.1833333,-30.84722222
SPLUS-d258,117.8166667,-30.84722222
SPLUS-d259,119.4541667,-30.84722222
SPLUS-d260,121.0916667,-30.84722222
SPLUS-d261,122.7291667,-30.84722222
SPLUS-d262,124.3625,-30.84722222
SPLUS-d263,126.0,-30.84722222
SPLUS-d264,127.6375,-30.84722222
SPLUS-d266,104.5166667,-32.22916667
SPLUS-d267,106.175,-32.22916667
SPLUS-d268,107.8333333,-32.22916667
SPLUS-d269,109.4916667,-32.22916667
SPLUS-d270,111.15,-32.22916667
SPLUS-d271,112.8125,-32.22916667
SPLUS-d272,114.4708333,-32.22916667
SPLUS-d273,116.1291667,-32.22916667
SPLUS-d274,117.7875,-32.22916667
SPLUS-d275,119.4458333,-32.22916667
