Names,RAJ2000_2008,DEJ2000_2008,Type_2008,amaj_2008,amin,PA,Com,SimbadName_2008,RAJ2000_2020,DEJ2000_2020,Type_2020,amaj_2020,bmin,l_logAge,logAge,r_logAge,[M/H],r_[M/H],PapI,B18,SimbadName_2020
HW39,00 59 31,-71 40 10,C,0.75,0.75,,,HW 39,00 59 30.6,-71 40 04,C,0.75,0.75,,8.2,GGK10,,,1.0,B18,HW39
HW4,,,,,,,,,00 30 27.5,-73 48 21,AC,1.2,1.0,,,,,,1.0,B18,HW4
HW40,01 00 25,-71 17 41,C,0.9,0.9,,,HW 40,,,,,,,,,,,,,
"HW40,RZ119",,,,,,,,,01 00 25.7,-71 17 39,C,0.9,0.9,,9.56,"PGC+14,DKB+14",-0.78,PGC+15,1.0,B18,HW40
HW41,01 00 35,-71 27 39,C,1.2,1.2,,,HW 41,,,,,,,,,,,,,
HW41n,,,,,,,,,01 00 33.6,-71 27 13,C,0.7,0.5,,,,,,0.0,B18,HW41
"HW41s,RZ125",,,,,,,,,01 00 35.2,-71 27 36,C,0.8,0.5,,,,,,1.0,B18,HW41
HW42,01 01 08,-74 04 25,CA,1.0,0.7,60,,HW 42,01 01 08.0,-74 04 25,CA,1.0,0.7,,9.93,"GGK10,PGC+14",-0.88,PPV17,1.0,B18,HW42
HW43,01 01 08,-71 45 17,C,0.8,0.8,,,HW 43,,,,,,,,,,,,,
"HW43,RZ129",,,,,,,,,01 01 08.3,-71 45 15,C,0.8,0.8,,8.2,GGK10,,,1.0,B18,HW43
HW44,01 01 22,-73 47 15,C,0.75,0.75,,mP,HW 44,01 01 22.3,-73 47 14,C,0.75,0.75,,,,,,1.0,B18,HW44
"HW45,BIS730",,,,,,,,,01 03 39.3,-71 46 38,AC,1.2,0.8,,8.5,GGK10,,,1.0,B18,HW45
HW46,01 03 59,-73 41 57,C,0.5,0.45,120,,HW 46,01 03 59.6,-73 41 57,C,0.5,0.45,,,,,,1.0,B18,HW46
HW47,01 04 04,-74 37 09,C,1.6,1.6,,,HW 47,,,,,,,,,,,,,
"HW47,RZ146",,,,,,,,,01 04 04.9,-74 37 04,C,1.6,1.6,,9.52,PGC+14,-0.92,PGG+09,1.0,B18,HW47
