,id,ra,dec,mag_psf_g,mag_psf_i,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_j0515,mag_psf_j0660,mag_psf_j0861,mag_psf_r,mag_psf_u,mag_psf_z,err_mag_psf_g,err_mag_psf_i,err_mag_psf_j0378,err_mag_psf_j0395,err_mag_psf_j0410,err_mag_psf_j0430,err_mag_psf_j0515,err_mag_psf_j0660,err_mag_psf_j0861,err_mag_psf_r,err_mag_psf_u,err_mag_psf_z,aperture_id,center_ra,center_dec,sep_arcsec,star_id
14211,i06MC00880HTKQ,85.16045595231743,-70.3979894992142,18.38075372314453,18.592197563171386,18.811874272346497,18.435701729774475,18.36962304592133,18.265742153167725,18.272266832351683,18.517843727111817,18.76497957801819,18.411889057159424,19.01900188589096,18.698753721237185,0.012682898,0.020165976,0.04854267,0.05677194,0.044314966,0.03711489,0.030678434,0.021076757,0.041544456,0.015564565,0.039373007,0.037482508,665,85.17164690833627,-70.41016900921144,45.880940306610924,
14212,i06MC00880HTGX,85.15865783095323,-70.39844475723649,18.74190351104736,17.48050704193115,20.291533352851868,20.005367638587952,19.74743447780609,19.431783765792847,18.546300855636595,17.69546842956543,17.400573945999145,17.831084232330323,20.77785871887207,17.264222747802734,0.016531458,0.008489969,0.15207718,0.19443169,0.12648237,0.08696291,0.036782376,0.012065434,0.015726304,0.009996655,0.1505565,0.012406907,665,85.17164690833627,-70.41016900921144,45.026677514311224,
14213,i06MC00880HTJA,85.15458564485638,-70.39875107763628,19.616502490997316,18.85242929649353,20.23025381755829,20.007236184597016,19.29687951087952,19.35191521072388,19.74698301887512,19.13450098419189,18.706366039276123,19.21279309272766,20.592651113510133,18.69687259864807,0.03292695,0.024973147,0.1474533,0.1949282,0.087738566,0.08166675,0.09226833,0.033451896,0.03997688,0.029793935,0.13041297,0.03753049,665,85.17164690833627,-70.41016900921144,45.977253556240804,
14214,i06MC00880HRN5,85.14892212618949,-70.40346133561204,19.00067691040039,19.258163358688357,19.401869878053667,18.95969346356392,18.742329697608948,19.025244159698488,18.983139244079588,19.17017186069489,19.465297914505005,19.10436008453369,19.640579081714154,19.436664945602416,0.020329015,0.03528192,0.07600292,0.08410345,0.05801775,0.06794195,0.051363718,0.03443094,0.0733487,0.027299957,0.062394533,0.07038116,665,85.17164690833627,-70.41016900921144,36.54756589640841,
14215,i06MC00880HSDX,85.14898085732476,-70.40271850227315,17.702755252838134,18.030682231903075,17.88830550003052,17.516525747299195,17.562046031951905,17.584401292800905,17.7096936378479,17.885668996810914,18.16660616493225,17.777502040863038,18.063106163978578,18.158280736923217,0.0079397075,0.0128668975,0.026026998,0.030133057,0.02509841,0.025199404,0.021049896,0.013754367,0.026710277,0.009672611,0.02142083,0.024224209,665,85.17164690833627,-70.41016900921144,38.31669564298713,
14216,i06MC00880HV45,85.14366213514569,-70.4023557738044,17.663137714385986,17.766820098876952,18.238974168777467,17.629446389198304,17.573472719192505,17.599460525512697,17.5701353225708,17.72806406402588,17.83403918838501,17.625459651947022,,17.75635779571533,0.007586832,0.010781152,0.031589694,0.031615973,0.024592493,0.024740985,0.018786471,0.012193416,0.020807369,0.008532623,,0.017575461,665,85.17164690833627,-70.41016900921144,43.961053812765165,
14217,i06MC00880HTMK,85.15166056221086,-70.39914030603562,18.28396007156372,18.51700129699707,18.50152003955841,18.157676817893982,18.128375749588013,18.21376237297058,18.230250087738035,18.42555797481537,18.66168115234375,18.328186016082764,18.765695318222047,18.666002161026,0.011846676,0.018897384,0.039287176,0.046556953,0.036754727,0.035202857,0.029495448,0.019825395,0.038487893,0.014619515,0.03365775,0.036525354,665,85.17164690833627,-70.41016900921144,46.46112739448231,
14218,i06MC00880HUC9,85.1498552264012,-70.4001977827287,16.48709270095825,15.35503211212158,17.65875756931305,17.264427186965943,17.015640478134156,16.876839799880983,16.262941089630125,15.5666766204834,15.241964794158935,15.668797473907471,18.06464229488373,15.140044815063476,0.003642219,0.0021555074,0.021363549,0.024378814,0.016952634,0.014232318,0.008604406,0.003521038,0.004484565,0.0024617137,0.020640451,0.0032712817,665,85.17164690833627,-70.41016900921144,44.50553669887227,
14219,i06MC00880HSF3,85.14716485076453,-70.4001750178579,19.09434417915344,19.207270290374755,19.31231863039732,19.11807107371092,18.941013317108155,19.117793483734133,19.027427998542784,19.196866396903992,19.314403272628784,19.03677103996277,19.728969890266654,19.240500337600707,0.022169014,0.03389459,0.0737756,0.09759752,0.07093622,0.07089387,0.053551897,0.035116356,0.06447545,0.02595692,0.068467945,0.059231233,665,85.17164690833627,-70.41016900921144,46.562845302498054,
14220,i06MC00880HT8C,85.1474855024811,-70.39946135471722,18.828859535217283,17.87634148788452,20.06817186069489,20.19318926525116,19.36154155015945,19.13384882926941,18.576802459716795,18.085803750991825,17.841699577331543,18.12934206008911,20.40079693460465,17.741922981262206,0.017665593,0.011397251,0.12904184,0.2307505,0.09263209,0.069163576,0.03782044,0.0156197455,0.021114454,0.012499574,0.11232093,0.0174996,665,85.17164690833627,-70.41016900921144,48.341121178035905,
14221,i06MC00880HTM9,85.14360015617275,-70.39769839959118,19.02680060005188,17.72318806838989,,,20.091457139253617,19.8445126247406,18.834598985671995,17.942440990448,17.633467412948608,18.08554599761963,,17.52044118118286,0.020607293,0.010159733,,,0.16915128,0.12289749,0.045620743,0.014178108,0.018378142,0.012102344,,0.014907816,665,85.17164690833627,-70.41016900921144,56.23363416469882,
14222,i06MC00880HTM0,85.16203874061722,-70.39737735910752,19.64535924530029,18.709194328308104,20.75463545513153,20.30195403289795,19.901692848205567,19.98801776790619,19.460349288940428,18.839860204696656,18.649414039611816,18.9371635723114,21.118224724769597,18.587929613113403,0.033732478,0.022131184,0.22654358,0.24753615,0.14274625,0.1356324,0.07337912,0.026707718,0.038066033,0.02363461,0.20304231,0.034206014,665,85.17164690833627,-70.41016900921144,47.48871897098474,
14223,i06MC00880HU14,85.16074465988277,-70.39608852978961,18.93226143455505,19.177023078918456,19.239712734915315,18.840643378019333,18.933522443771363,18.82526394748688,18.96436091995239,19.109303478240967,19.340770817756653,18.971938829422,19.648586582034827,19.30202329826355,0.01912687,0.032910183,0.066056006,0.07617716,0.06595813,0.05488848,0.0505712,0.032817345,0.066118926,0.024438284,0.06186,0.06252025,665,85.17164690833627,-70.41016900921144,52.37112122749668,
