,Unnamed: 0,id,ra,dec,mag_psf_g,mag_psf_i,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_j0515,mag_psf_j0660,mag_psf_j0861,mag_psf_r,mag_psf_u,mag_psf_z,err_mag_psf_g,err_mag_psf_i,err_mag_psf_j0378,err_mag_psf_j0395,err_mag_psf_j0410,err_mag_psf_j0430,err_mag_psf_j0515,err_mag_psf_j0660,err_mag_psf_j0861,err_mag_psf_r,err_mag_psf_u,err_mag_psf_z,aperture_id,center_ra,center_dec,sep_arcsec,star_id
5102,5197,i06MC006308LTU,73.78683440919797,-69.73795836123658,19.497027732849123,19.51308253288269,20.15058088129759,19.826856380701063,19.66341463851929,19.549228770256043,19.479265970230102,19.47158716964722,19.66358428001404,19.40944722366333,20.6978030743748,19.49406224441528,0.039688688,0.053373754,0.11332697,0.12717918,0.09918656,0.08493085,0.069020264,0.046506427,0.08983549,0.041486263,0.13503864,0.069925345,273,73.82144099558866,-69.73448774222167,44.9211729184208,
5106,5201,i06MC006308JO8,73.85652171207589,-69.74178159810923,18.58686337661744,18.9966365852356,18.790229424476625,18.470424649238588,18.50118559837341,18.441165046691893,18.63728057861328,18.92865379905701,19.24100436973572,18.784992580413817,18.96548464679718,19.21604686927796,0.020147607,0.035787717,0.039744124,0.0471877,0.042226225,0.038477976,0.037511315,0.030695114,0.06420339,0.02545691,0.033630487,0.055825315,273,73.82144099558866,-69.73448774222167,51.01275947541094,
5115,5210,i06MC006308L9C,73.84453405028614,-69.7423009882515,16.091864444732668,16.496529296875,16.055087074279786,15.872225162506105,15.917684497833251,15.941849784851073,16.110782665252685,16.062154136657714,16.657965324401854,16.259257274627686,16.12126484298706,16.653307735443114,0.004258704,0.0066260705,0.0077013327,0.010046965,0.008966918,0.008651162,0.008063639,0.0047350395,0.010351285,0.004634085,0.005797724,0.008087975,273,73.82144099558866,-69.73448774222167,40.2497764192071,
5116,5211,i06MC006308LWE,73.84425972928035,-69.73994349606242,16.92601571273804,17.28854246520996,17.04521416091919,16.746347066879274,16.796899333953856,16.795581893920897,16.911221546173095,17.13127931213379,17.396299980163572,17.079318004608155,17.49323454284668,17.385639965057372,0.006833759,0.010665196,0.013229317,0.016228145,0.0145221185,0.0138671,0.012603719,0.008832526,0.016409779,0.0076028556,0.012589125,0.01321787,273,73.82144099558866,-69.73448774222167,34.570945096824204,
5136,5231,i06MC006308M1D,73.82754029660735,-69.73777555632195,17.61389241409302,18.00191095352173,17.75828798484802,17.462824295043944,17.50744280052185,17.498866945266723,17.641029876708984,17.880703603744507,18.131740949630736,17.772715049743653,18.01459947013855,18.134382068634032,0.010437079,0.017092988,0.020373298,0.024636013,0.022129433,0.020975702,0.019426506,0.014333081,0.027268946,0.01204249,0.017557597,0.023038369,273,73.82144099558866,-69.73448774222167,14.068676866899494,
5139,5234,i06MC006308KWY,73.8187876569374,-69.73973849031943,18.71984467697144,19.10663679122925,19.078189881324768,18.70996930503845,18.66633638572693,18.652367263793945,18.74117783927917,18.932670986175538,19.20803687477112,18.824131923675537,19.443650081634523,19.143677293777465,0.021839142,0.03873497,0.048649166,0.05511778,0.046778623,0.04353854,0.03961642,0.03044364,0.062082842,0.025871698,0.047736876,0.052002702,273,73.82144099558866,-69.73448774222167,19.189985606470565,
5141,5236,i06MC006308OEH,73.8294572932343,-69.73318005060955,17.948737480163576,18.38072700881958,18.05951583957672,17.78960747528076,17.81050340461731,17.84249797439575,17.946117681503296,18.271873628616333,18.5467108707428,18.12700839614868,18.262763076782228,18.56719666671753,0.012967337,0.022340134,0.024663532,0.03024476,0.026764283,0.026010826,0.023649404,0.018898124,0.036987837,0.015459057,0.020732418,0.032388072,273,73.82144099558866,-69.73448774222167,11.04919473367412,
5147,5242,i06MC006308LSH,73.80387742131308,-69.73789475903588,18.04482159805298,18.484917430877687,18.08241267871857,17.86000206375122,17.89180771636963,17.893909841537475,18.02684764289856,18.36377063941956,18.606186365127563,18.25818112564087,18.28188767814636,18.66520076942444,0.013855764,0.024206186,0.025268855,0.031737093,0.02847954,0.026935875,0.02501753,0.020190995,0.038927414,0.01704174,0.021309933,0.0351918,273,73.82144099558866,-69.73448774222167,25.09975701905176,
5148,5243,i06MC006308LLL,73.80273437442266,-69.73727883636982,18.66715226364136,19.042551307678224,18.790448075294496,18.620280884742737,18.532143037796025,18.552803022384644,18.621509593963623,18.98683611106873,19.213480686187744,18.87293818664551,19.23037293338776,19.18895345878601,0.021460546,0.03701154,0.04126687,0.052503265,0.044068504,0.04172593,0.037502237,0.03208108,0.062572755,0.027284097,0.0420179,0.054445993,273,73.82144099558866,-69.73448774222167,25.396643006498334,
5150,5245,i06MC006308P4S,73.8022183621556,-69.73291435746677,18.58238969039917,18.83164432525635,19.03252571105957,18.54388787651062,18.53237032318115,18.507897121429444,18.51949839019776,18.78417943763733,18.97463772201538,18.66398766708374,19.483917574882508,18.960686504364013,0.019840797,0.03135178,0.047056958,0.048535284,0.042762283,0.039764717,0.034156084,0.027190188,0.05134473,0.022882339,0.04915393,0.044633217,273,73.82144099558866,-69.73448774222167,24.630415098890403,
5155,5250,i06MC006308PIJ,73.80460563423233,-69.73047487710541,18.82671628189087,19.177486209869382,19.288357548713684,18.756567262649536,18.82677530670166,18.779787046432496,18.86016539955139,19.011435497283937,19.29677746200561,18.942066223144533,19.435909920692445,19.23094421577453,0.023849038,0.04099938,0.056890924,0.05701717,0.052909765,0.048368655,0.043565266,0.032513812,0.06682636,0.02859202,0.047500852,0.056095455,273,73.82144099558866,-69.73448774222167,25.484690541572217,
5156,5251,i06MC006308QTT,73.80882748531619,-69.7295020553891,18.572859622955324,18.83168437957764,18.939915113449096,18.577339672088623,18.536247009277343,18.467260105133057,18.553442043304443,18.814987171173097,19.05957593727112,18.68858285522461,19.25950699424744,19.06170827102661,0.019859198,0.031373292,0.04489518,0.0504357,0.04311876,0.039171126,0.03526186,0.028011676,0.055104554,0.02348366,0.042108975,0.048824158,273,73.82144099558866,-69.73448774222167,23.865946768388103,
5157,5252,i06MC006308R35,73.81223680022546,-69.7280676711839,17.57750449371338,17.819940357208253,17.7232795753479,17.421408437728882,17.455406660079955,17.46782229614258,17.560086292266845,17.544850814819338,17.980345390319822,17.651981311798096,17.885032302856445,17.94877225112915,0.010229042,0.015061957,0.020291934,0.02438522,0.021581657,0.020720342,0.018576723,0.011431415,0.024272295,0.0110796755,0.01639912,0.019937392,273,73.82144099558866,-69.73448774222167,25.805790016259014,
5170,5265,i06MC006308RVN,73.82209454507019,-69.72612806146849,18.378039695739748,18.669395641326904,18.76362083339691,18.40424747276306,18.31028556251525,18.309113962173463,18.423930210113525,18.554033672332764,18.70865526008605,18.43413205718994,19.118715007781983,18.758619129180907,0.01724045,0.027444957,0.039518904,0.044723034,0.03703933,0.03492415,0.031977806,0.022798128,0.041457396,0.019164119,0.037807126,0.03751189,273,73.82144099558866,-69.73448774222167,30.105886792757588,
5183,5278,i06MC006308P6A,73.79104732521017,-69.73044891923566,19.192408420562742,19.48919942855835,19.4801372089386,19.04187676906586,19.08140606403351,19.014989835739136,19.135121864318847,19.47534214305878,19.76042268180847,19.318271190643312,19.82304976463318,19.692580043792724,0.03151975,0.053106844,0.06603198,0.06993548,0.063875325,0.056696326,0.05339329,0.04725711,0.09851798,0.038781147,0.06508852,0.08372565,273,73.82144099558866,-69.73448774222167,40.595685528695945,
5184,5279,i06MC006308PU9,73.7892103172549,-69.7293688987075,18.73588595581055,19.092427520751954,19.03851817035675,18.670560216903688,18.66304428100586,18.613001640319823,18.782785219192505,19.069565880775453,19.22125456237793,18.89950659942627,19.35930364704132,19.25524264526367,0.022396885,0.038438454,0.048396252,0.053900696,0.04735003,0.0431641,0.04167909,0.034122676,0.062932305,0.027691076,0.04551517,0.057595998,273,73.82144099558866,-69.73448774222167,44.21740353034155,
5228,5323,i06MC0094092A0,11.815354101009072,-71.90559068387887,17.290923149108888,17.84336624145508,17.17895684814453,17.036789382934572,17.020577793121337,17.083052280426024,17.340225326538086,17.656995330810545,18.048895328521727,17.542149990081786,17.072314821243285,18.09020780181885,0.006304081,0.009092948,0.010367907,0.013678399,0.012691208,0.0146004,0.012151688,0.0083299475,0.018168226,0.006821977,0.0072212964,0.023013765,279,11.790850746537863,-71.90012260516072,33.73914666024492,
5247,5342,i06MC0094096M6,11.778492154101112,-71.89138897571044,17.696241886138917,18.172867321014404,17.711752899169923,17.528221883773803,17.455570583343505,17.514080739974975,17.693430530548095,18.009161434173585,18.322608917236327,17.891199558258055,17.9168516330719,18.312552200317384,0.008034133,0.011606464,0.014326166,0.018377906,0.016458064,0.01884395,0.015016464,0.010572692,0.02237819,0.008632372,0.012022608,0.027588146,279,11.790850746537863,-71.90012260516072,34.3465102774482,
5249,5344,i06MC0094095SL,11.78935684098924,-71.89268115383062,19.07149604034424,19.545123838424683,19.188773388385773,18.89343849658966,18.80835235595703,18.95641658401489,19.1218744392395,19.38556102371216,19.671773403167723,19.246668785095213,19.281504598617552,19.55990789985657,0.020087266,0.033924766,0.039663527,0.04626769,0.039617565,0.048238248,0.038130987,0.028840078,0.065815255,0.023353659,0.031140793,0.077917725,279,11.790850746537863,-71.90012260516072,26.841299000049084,
5255,5350,i06MC0094097WF,11.78910610006121,-71.88655671864493,19.239246398925783,19.65909960174561,19.408263009548183,19.04720953941345,18.956135873794555,19.11982684326172,19.23111401748657,19.581365500450133,19.91983207988739,19.41949984359741,19.49934579372406,19.89077423667908,0.022580277,0.037455592,0.04687295,0.05226685,0.043853015,0.0539771,0.04160795,0.03382349,0.081597134,0.026800137,0.037004516,0.10425075,279,11.790850746537863,-71.90012260516072,48.87618487107039,
5266,5361,i06MC003204NQ6,81.97798260609426,-67.39730468242593,19.03832615280152,19.5664463672638,19.09193258154392,18.79696966314316,18.79101598548889,18.71681922245025,19.021054699897768,19.09084949016571,19.92807538461685,19.155173625946045,19.604524649620057,19.62867885017395,0.02323074,0.039681528,0.06659145,0.08239506,0.068756096,0.05913405,0.0659328,0.031151675,0.116106555,0.024136093,0.06133305,0.079368,280,81.97785928494143,-67.41281249643878,55.828391026806585,
