cluster_Names,counts_be_stars,counts_all_stars,fraction_be_stars,Names,logAge,[M/H],amaj
BBica 4                                ,7.0,298,0.02348993288590604,BBica 4                                ,     ,     ,5.6
BBica 5                                ,0.0,17,0.0,BBica 5                                ,     ,     ,0.5
BBica 6                                ,0.0,22,0.0,BBica 6                                ,     ,     ,0.6
BBica 7                                ,0.0,13,0.0,BBica 7                                ,     ,     ,0.35
BBica 8                                ,0.0,11,0.0,BBica 8                                ,     ,     ,1.0
BBica 9                                ,0.0,17,0.0,BBica 9                                ,     ,     ,1.3
"BCD1,LOGLE397                   ",0.0,25,0.0,"BCD1,LOGLE397                   ",,,0.5
BCDSP7                          ,0.0,2,0.0,BCDSP7                          ,,,0.45
"BCDSP8,LOGLE605                 ",0.0,73,0.0,"BCDSP8,LOGLE605                 ",,,0.9
"BH27C2,KMHK264,GKK-O109",2.0,300,0.006666666666666667,"BH27C2,KMHK264,GKK-O109",,,0.9
"BH46C2,KMHK1402                 ",0.0,66,0.0,"BH46C2,KMHK1402                 ",,,0.65
BIS182                                 ,0.0,50,0.0,BIS182                                 , 9.48,     ,1.56
BIS195                                 ,0.0,106,0.0,BIS195                                 , 8.71,     ,1.94
BIS197                                 ,0.0,70,0.0,BIS197                                 , 8.78,     ,1.56
BIS203                                 ,1.0,110,0.00909090909090909,BIS203                                 , 8.86,     ,1.58
BIS209                                 ,1.0,84,0.011904761904761904,BIS209                                 , 8.60,     ,1.56
BIS211                                 ,0.0,62,0.0,BIS211                                 , 9.23,     ,1.57
BIS215                                 ,0.0,62,0.0,BIS215                                 , 8.84,     ,1.57
BIS218                                 ,0.0,138,0.0,BIS218                                 , 8.99,     ,1.57
BIS219                                 ,1.0,121,0.008264462809917356,BIS219                                 , 8.90,     ,1.56
BIS221                                 ,0.0,171,0.0,BIS221                                 , 9.11,     ,1.56
BIS223                                 ,0.0,112,0.0,BIS223                                 , 8.43,     ,1.57
BIS229                                 ,2.0,189,0.010582010582010581,BIS229                                 , 8.66,     ,1.56
BIS230                                 ,1.0,363,0.0027548209366391185,BIS230                                 , 9.12,     ,2.82
BIS231                                 ,2.0,553,0.003616636528028933,BIS231                                 , 8.98,     ,2.2
BIS233                                 ,0.0,78,0.0,BIS233                                 , 9.15,     ,1.57
BIS234                                 ,0.0,187,0.0,BIS234                                 , 8.68,     ,1.57
BIS245                                 ,3.0,310,0.00967741935483871,BIS245                                 , 8.65,     ,1.78
BIS246                                 ,2.0,374,0.0053475935828877,BIS246                                 , 9.32,     ,2.06
BIS250                                 ,20.0,1477,0.013540961408259987,BIS250                                 , 8.69,     ,3.36
BIS251                                 ,2.0,354,0.005649717514124294,BIS251                                 , 9.16,     ,1.57
BIS256                                 ,4.0,869,0.004602991944764097,BIS256                                 , 9.37,     ,3.36
BIS257                                 ,25.0,1575,0.015873015873015872,BIS257                                 , 8.42,     ,3.36
BIS260                                 ,1.0,316,0.0031645569620253164,BIS260                                 , 9.26,     ,2.33
BIS262                                 ,1.0,354,0.002824858757062147,BIS262                                 , 8.73,     ,1.75
BIS263                                 ,1.0,238,0.004201680672268907,BIS263                                 , 8.46,     ,1.57
BIS264                                 ,10.0,837,0.011947431302270013,BIS264                                 ,     ,     ,2.69
BIS266                                 ,10.0,1555,0.006430868167202572,BIS266                                 , 8.57,     ,3.36
BIS267                                 ,7.0,186,0.03763440860215054,BIS267                                 , 8.30,     ,1.61
BIS268                                 ,0.0,231,0.0,BIS268                                 , 9.19,     ,2.03
BIS269                                 ,2.0,153,0.013071895424836602,BIS269                                 , 8.30,     ,1.57
BIS271                                 ,0.0,59,0.0,BIS271                                 , 9.63,     ,1.56
BIS272                                 ,1.0,303,0.0033003300330033004,BIS272                                 , 9.07,     ,1.98
BIS273                                 ,1.0,163,0.006134969325153374,BIS273                                 , 8.98,     ,1.62
BIS274                                 ,0.0,118,0.0,BIS274                                 , 9.78,     ,1.56
"BIS275,BUS688                          ",14.0,1264,0.011075949367088608,"BIS275,BUS688                          ", 8.25,     ,3.36
BIS276                                 ,0.0,101,0.0,BIS276                                 , 9.36,     ,1.6
BIS278                                 ,5.0,1297,0.0038550501156515036,BIS278                                 , 8.67,     ,3.36
BIS283                                 ,15.0,1390,0.01079136690647482,BIS283                                 , 8.81,     ,3.36
BIS284                                 ,14.0,1453,0.009635237439779766,BIS284                                 , 9.23,     ,3.36
BIS286                                 ,4.0,588,0.006802721088435374,BIS286                                 , 9.15,     ,2.11
BIS287                                 ,10.0,602,0.016611295681063124,BIS287                                 , 8.30,     ,2.82
BIS288                                 ,4.0,386,0.010362694300518135,BIS288                                 , 8.70,     ,1.98
BIS290                                 ,27.0,1417,0.019054340155257588,BIS290                                 , 8.48,     ,3.36
BIS291                                 ,2.0,490,0.004081632653061225,BIS291                                 , 9.36,     ,1.69
BIS292                                 ,5.0,1458,0.003429355281207133,BIS292                                 , 8.37,     ,3.36
BIS293                                 ,2.0,968,0.002066115702479339,BIS293                                 , 8.62,     ,3.36
BIS294                                 ,4.0,1566,0.002554278416347382,BIS294                                 , 8.91,     ,3.36
BIS295                                 ,12.0,2251,0.0053309640159928924,BIS295                                 , 8.82,     ,3.36
BIS296                                 ,2.0,989,0.0020222446916076846,BIS296                                 , 8.62,     ,3.36
