id,mag_psf_g,mag_psf_i,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_j0515,mag_psf_j0660,mag_psf_j0861,mag_psf_r,mag_psf_u,mag_psf_z,ra,dec,ra_deg,dec_deg,Type,Category,Bestar
i06MC003206VX5,14.377168243408203,14.704953453063965,14.205827144622802,14.14848318862915,14.190940025329589,14.232073207855226,14.347624698638917,14.365799709320068,14.895573440551757,14.520470207214355,14.104734756469728,14.929620773315431,82.11492249908571,-67.19127898754569,82.11483333333334,-67.19125000000001,B1IIIe,Classical,Cl* NGC 2004 MHFBE 118784
i06MC003207N94,14.707323211669923,15.35745496368408,14.573363834381105,14.425095252990722,14.459961681365968,14.516016239166259,14.710625827789308,15.145943374633788,15.541659988403321,15.022056716918947,14.608075664520264,15.560519725799562,82.05539003940366,-67.12245139723689,82.05533333333332,-67.1224361111111,B1.5IIIe,Classical,Cl* NGC 2004 MHFBE 140012
i06MC003206UBG,15.604247966766359,16.081371826171875,15.490802413940429,15.331317783355711,15.368512401580812,15.429098850250245,15.605474910736085,15.77033097076416,16.295427955627442,15.855562938690184,15.421719161987305,16.3336978263855,82.02533259814393,-67.19630234177437,82.02508333333333,-67.19650833333334,B1Ve,Classical,Cl* NGC 2004 MHFBE 116297
i06MC003203GB6,19.055939573287965,18.283824195861815,19.712534573554994,19.71297738981247,19.55782936668396,19.400277700424194,18.82587948703766,18.414930948257446,18.215088285446168,18.468747535705567,20.821605269908904,18.200887203216553,81.99924444359057,-67.51988773853267,81.99999999999999,-67.52,Be,Classical,AL 207
i06MC003204TSR,15.563544971466065,15.925714244842528,15.513122253417968,15.382570098876954,15.417858505249022,15.444827560424805,15.56140120315552,15.674439163208007,16.064443122863768,15.734394802093504,15.561258369445802,16.112442783355714,81.92617181153798,-67.39351969420416,81.92608333333332,-67.39349444444446,B1Ve,Classical,Cl* NGC 2004 MHFBE 55920
i06MC003207HQR,14.860305301666259,15.04342109298706,14.83858428955078,14.715852069854737,14.715721824645996,14.73327841567993,14.819648559570311,14.553100982666017,15.203683460235595,14.903319942474365,14.712514602661134,15.24578328704834,81.89689743383116,-67.13179843157157,81.89683333333333,-67.13178611111111,B1IIIe,Classical,Cl* NGC 2004 MHFBE 136844
i06MC003206NI9,14.558039482116698,15.080266632080079,14.446283912658693,14.314058444976805,14.315105812072755,14.370473827362062,14.554274707794189,14.709038654327394,15.240286506652833,14.807594116210936,14.450167453765868,15.27453370666504,81.86917095900935,-67.21580361207188,81.86908333333332,-67.21578055555555,B1Ve,Classical,Cl* NGC 2004 MHFBE 110827
i06MC003206FI1,14.648239067077636,14.917826663970946,14.553749553680419,14.488200660705566,14.497842063903807,14.51854306411743,14.629532485961914,14.476917114257812,15.080750621795655,14.750586730957032,,15.099711853027344,81.81349178375193,-67.23616549129214,81.81341666666665,-67.23615277777778,B1IIIe,Classical,Cl* NGC 2004 MHFBE 103914
i06MC003206WCK,14.764637069702147,14.998288093566895,14.657219142913817,14.570214412689207,14.567864212036135,14.594178539276122,14.723802570343018,14.569971336364745,15.208142436981202,14.852844387054443,14.515081607818605,15.229301265716554,81.73319268557037,-67.19088515333084,81.73308333333333,-67.19085833333334,B1IIIe,Classical,Cl* NGC 2004 MHFBE 118313
i06MC00640ARLR,15.60978652191162,15.807926177978516,15.459644538879395,15.394353843688965,15.43294361114502,15.479131118774415,15.579940925598144,15.544670066833497,15.961188575744629,15.665925163269044,15.352596733093261,15.943771408081055,78.56210265337404,-69.52942076161855,78.56220833333333,-69.52941944444444,B2IIIe,Classical,[L72] LH 39-23
