id,ra,dec,mag_psf_g,mag_psf_i,mag_psf_j0378,mag_psf_j0395,mag_psf_j0410,mag_psf_j0430,mag_psf_j0515,mag_psf_j0660,mag_psf_j0861,mag_psf_r,mag_psf_u,mag_psf_z,OGLE-II,OGLE-III,OGLE-IV,ura,udec
i06MC006506ZWG,83.43143980951996,-69.79907628465821,17.503999938964842,17.591066680908202,17.628036930084228,17.502505214691162,17.42821393585205,17.422158325195312,17.431463607788086,17.48959462738037,17.677127952575685,17.524483070373535,17.701172805786133,17.634935600280762,LMC_SC1_170211,LMC169.3.17098,LMC516.21.12631,83.43154,-69.79928
i06MC00650851X,83.28832921884931,-69.68978200304116,15.042336433410643,15.114477478027343,15.66561793899536,15.202197143554688,15.003696128845213,15.023577224731444,14.961920669555663,15.051637527465822,15.106818977355957,15.014156944274902,16.596214958190917,15.058934982299803,LMC_SC1_179817,LMC169.3.61422,LMC516.21.36500,83.28833,-69.68978
i06MC00880HCQ0,83.48942625172631,-70.45463133703744,16.02443539428711,16.41957011413574,15.904419136047363,15.748080184936523,15.795592372894287,15.847129257202148,16.04088004684448,16.12873077774048,16.56027114868164,16.17594192504883,15.8696671295166,16.55021346282959,LMC_SC1_192011,LMC170.2.60367,LMC516.03.50023,83.48942,-70.45464
i06MC006501MSX,83.620814066688,-70.2913166211482,15.763147583007811,15.862242935180664,15.791028610229493,15.68400064086914,15.67540744781494,15.675309410095213,15.711755546569826,15.6076580657959,15.988426788330077,15.772107299804688,15.949503440856933,15.967540962219239,LMC_SC1_201726,LMC170.3.73503,LMC516.03.73678,83.6205,-70.29131
i06MC006503CS6,83.61010112771689,-70.14999113815446,14.995594139099122,14.436124778747558,15.96157777404785,15.804668098449707,15.338423767089843,15.28614734649658,14.836315467834474,14.530200233459471,14.409681610107423,14.564210952758788,16.321833557128905,14.363362937927246,LMC_SC1_217408,LMC170.4.81536,LMC516.11.59402,83.60971,-70.15008
i06MC006503K4X,83.47588826015016,-70.13012385236776,16.90393106842041,17.06845255279541,17.13805565071106,16.90581002807617,16.795658149719237,16.804509391784666,16.811777252197267,16.858496490478515,17.09004867553711,16.929622856140135,17.643310173034667,17.063671737670898,LMC_SC1_217564,LMC169.1.17315,LMC516.11.59678,83.47612,-70.13
i06MC006506CMS,83.47332590569646,-69.86273791520686,16.933089111328126,16.928149543762206,16.972495851516722,16.89171061706543,16.86682785797119,16.84503578186035,16.8431148147583,16.809082489013672,17.075839302062988,16.9090495223999,16.86396541595459,17.061656768798827,LMC_SC1_248039,LMC169.2.91966,LMC516.20.40474,83.47325,-69.86278
i06MC006507DI0,83.53615874667847,-69.75315076428384,15.1344416885376,15.252183425903322,15.030730533599854,14.99828224182129,15.019897178649902,15.043298255920408,15.103647193908692,14.94055793762207,15.399802062988282,15.172037612915037,14.901347137451172,15.379597076416015,LMC_SC1_252759,LMC169.3.93648,LMC516.20.63075,83.53612,-69.75317
i06MC0065072E9,83.49159409360198,-69.78709299441915,16.948267181396485,17.411142265319825,16.870905281066893,16.770919898986815,16.804028778076173,16.812964927673338,16.962720832824708,17.111652687072755,17.56311728668213,17.130959449768067,16.90215721130371,17.533575828552245,LMC_SC1_252841,LMC169.3.17177,LMC516.20.51533,83.49154,-69.78711
i06MC006507LGW,83.59201887298869,-69.73605045359797,14.948198341369629,15.642397537231446,14.675154567718504,14.659455657958983,14.708141593933107,14.758972106933594,15.007597885131837,15.368008407592775,15.828601837158203,15.30788484954834,14.568522315979003,15.854383430480958,LMC_SC1_257438,LMC169.3.93670,LMC516.20.63086,83.59196,-69.73608
