ra,dec,OGLE-II,OGLE-III,OGLE-IV,Offset,RemOut
13.48354,-73.21461,SMC_SC6_267943,SMC100.2.24809,SMC726.16.35449,10,
13.48654,-73.17475,SMC_SC6_272405,SMC100.2.57808,SMC726.16.35224,7,
13.5475,-73.17769,SMC_SC6_272452,SMC106.5.64,SMC726.16.35540,10,
13.57062,-73.19661,SMC_SC6_272665,SMC106.6.26640,SMC726.16.37649,M,20.0
13.49433,-73.17167,SMC_SC6_272817,SMC100.2.58285,SMC726.16.38041,28,
13.50646,-73.00097,SMC_SC6_286814,SMC100.3.65655,SMC726.25.1099,8,
13.02679,-73.10806,SMC_SC6_28897,SMC100.3.9344,SMC719.03.29,A,13.0
12.96771,-73.15111,SMC_SC6_28962,SMC100.2.40644,SMC720.26.37677,12,
13.01533,-73.13919,SMC_SC6_28980,SMC100.3.9662,SMC719.03.695,3,
12.94404,-73.10597,SMC_SC6_29027,SMC100.3.9622,SMC719.04.1068,M,11.0
13.50958,-72.91208,SMC_SC6_296731,SMC100.4.29614,SMC726.25.37922,A,4.0
13.46862,-72.77347,SMC_SC6_306507,SMC101.1.54196,SMC719.11.338,M,19.0
13.48342,-72.76583,SMC_SC6_306516,SMC101.1.54073,SMC719.11.358,5,
13.51004,-72.74622,SMC_SC6_306992,SMC101.1.54563,10,,
13.63662,-72.71092,SMC_SC6_311191,SMC105.6.92,SMC719.10.172,7,
13.45704,-72.64992,SMC_SC6_315660,SMC101.2.21984,SMC719.11.36378,A,29.0
13.58271,-72.6645,SMC_SC6_315702,SMC105.6.26217,SMC719.10.33503,6,
13.579,-72.62714,SMC_SC6_316166,SMC105.6.27194,SMC719.10.37619,12,
13.60171,-72.65117,SMC_SC6_317397,SMC105.6.28410,SMC719.10.41601,A,1.0
13.49671,-72.58583,SMC_SC6_319935,SMC101.2.48095,0,,
13.52179,-72.61081,SMC_SC6_319982,SMC105.6.26173,SMC719.10.33623,11,
13.63842,-72.53653,SMC_SC6_324134,SMC105.5.71,SMC719.10.33763,11,
13.02462,-73.07358,SMC_SC6_35449,SMC100.3.9343,SMC719.03.53,6,
12.98554,-73.08258,SMC_SC6_35541,SMC100.3.9643,4,,
12.88987,-73.02294,SMC_SC6_42393,SMC100.3.46764,SMC719.04.4075,19,
13.04833,-73.01364,SMC_SC6_42440,SMC100.3.56046,SMC719.03.1430,A,18.0
12.982,-72.99236,SMC_SC6_43074,SMC100.3.48196,19,,
12.86162,-72.98539,SMC_SC6_45534,SMC100.4.12673,SMC719.04.56578,21,
12.9825,-72.94931,SMC_SC6_49150,SMC100.4.9860,1,,
12.926,-72.93003,SMC_SC6_49174,SMC100.4.9829,SMC719.04.45843,6,
12.97533,-73.33633,SMC_SC6_5290,SMC100.1.36078,SMC720.26.487,7,
12.92867,-73.33539,SMC_SC6_5292,SMC100.1.36062,1,,
12.91158,-73.33428,SMC_SC6_5294,SMC100.1.36054,13,,
13.02167,-73.38844,SMC_SC6_5296,SMC100.1.8258,SMC720.26.843,8,
13.00617,-73.34025,SMC_SC6_5540,SMC100.1.36587,SMC720.26.1164,1,
12.90246,-73.33792,SMC_SC6_5548,SMC100.1.36443,SMC720.27.1439,6,
12.90383,-72.91311,SMC_SC6_55688,SMC100.4.9703,SMC719.04.45688,16,
13.02525,-72.86908,SMC_SC6_55724,SMC100.4.45296,SMC719.03.44001,3,
12.91292,-72.88108,SMC_SC6_55781,SMC100.4.45387,SMC719.04.47083,12,
12.88471,-72.87172,SMC_SC6_55793,SMC100.4.45367,SMC719.04.46288,M,22.0
13.02729,-72.82961,SMC_SC6_61390,SMC101.1.16533,8,,
12.96154,-72.75611,SMC_SC6_67220,SMC101.1.39390,SMC719.12.165,2,
12.91362,-72.74186,SMC_SC6_67233,SMC101.1.39385,SMC719.12.179,10,
12.94025,-72.73286,SMC_SC6_72594,SMC101.1.39449,SMC719.12.479,6,
13.03408,-72.69725,SMC_SC6_72633,SMC101.2.14347,SMC719.11.501,11,
12.98612,-72.688,SMC_SC6_72644,SMC101.2.7185,2,,
12.95883,-72.69344,SMC_SC6_72759,SMC101.2.7354,SMC719.12.1332,5,
13.03729,-72.63414,SMC_SC6_77228,SMC101.2.14349,SMC719.11.36482,3,
12.97279,-72.66922,SMC_SC6_77239,SMC101.2.7183,SMC719.12.35785,A,9.0
13.05021,-72.62317,SMC_SC6_81626,SMC101.2.41396,SMC719.11.36495,8,
13.03046,-72.59364,SMC_SC6_81674,SMC101.2.41421,SMC719.11.36567,7,
12.9995,-72.58633,SMC_SC6_81683,SMC101.2.35651,SMC719.11.36775,6,
13.02879,-72.56675,SMC_SC6_81823,SMC101.2.41491,SMC719.11.37434,11,
12.98275,-72.53422,SMC_SC6_85580,SMC101.3.5170,A,10,
12.97129,-72.53008,SMC_SC6_85614,SMC101.3.5189,SMC719.12.35646,3,
12.897,-72.54375,SMC_SC6_85637,SMC101.3.5316,SMC719.12.36597,12,
13.13479,-73.40672,SMC_SC6_89640,SMC100.1.15211,SMC720.26.87,9,
13.17412,-73.40114,SMC_SC6_89706,SMC100.1.15318,SMC720.26.769,12,
13.0855,-73.42631,SMC_SC6_89986,SMC100.1.15425,A,8,
13.19342,-73.40672,SMC_SC6_90120,SMC100.1.15549,SMC720.26.1802,A,3.0
13.11458,-73.33369,SMC_SC6_94460,SMC100.1.43662,SMC720.26.40,A,8.0
13.05829,-73.32175,SMC_SC6_99923,SMC100.1.43671,SMC720.26.47,8,
13.19083,-73.31008,SMC_SC6_99926,SMC100.1.43680,SMC720.26.188,4,
13.21871,-73.30931,SMC_SC6_99927,SMC100.1.43688,SMC720.26.52,4,
13.13671,-73.32819,SMC_SC6_99933,SMC100.1.43721,SMC720.26.161,6,
13.09817,-73.3215,SMC_SC6_99936,SMC100.1.43715,SMC720.26.170,7,
13.09375,-73.31189,SMC_SC6_99946,SMC100.1.43712,SMC720.26.183,5,
13.07246,-73.32389,SMC_SC6_99987,SMC100.1.43704,SMC720.26.519,7,
13.06412,-73.32083,SMC_SC6_99991,SMC100.1.43700,SMC720.26.531,A,19.0
13.95492,-73.00639,SMC_SC7_100573,SMC105.8.15366,SMC719.02.2703,24,
13.93904,-72.93208,SMC_SC7_105118,SMC105.8.35013,SMC719.02.34454,A,9.0
13.84804,-72.92467,SMC_SC7_105161,SMC105.8.35061,SMC719.02.34663,M,0.0
13.9525,-72.86864,SMC_SC7_110080,SMC105.7.7871,SMC719.02.34502,M,0.0
13.976,-72.83197,SMC_SC7_115231,SMC105.7.15544,SMC726.25.38335,A,2.0
13.82054,-72.76867,SMC_SC7_120049,SMC105.7.34219,SMC719.10.331,A,23.0
13.97717,-72.66903,SMC_SC7_124827,SMC105.6.14404,SMC719.10.33490,8,
13.98037,-72.68236,SMC_SC7_124915,SMC105.6.14480,SMC719.10.1143,0,
13.83446,-72.61947,SMC_SC7_129053,SMC105.6.33015,SMC719.10.33287,A,4.0
13.90567,-72.60092,SMC_SC7_129080,SMC105.6.33088,SMC719.10.33641,6,
13.89025,-72.64436,SMC_SC7_129095,SMC105.6.33086,SMC719.10.33547,6,
13.98042,-72.65475,SMC_SC7_129157,SMC105.6.39550,SMC719.10.33854,14,
13.83729,-72.56183,SMC_SC7_133481,SMC105.5.6618,SMC719.10.33445,2,
13.97133,-72.58611,SMC_SC7_133501,SMC105.5.13038,SMC719.10.33669,A,16.0
13.71342,-73.14564,SMC_SC7_13621,SMC106.5.606,SMC726.16.36287,M,18.0
13.88225,-72.50658,SMC_SC7_137524,SMC105.5.31234,SMC719.19.106,9,
13.89637,-72.48511,SMC_SC7_137527,SMC105.5.31235,SMC719.19.125,1,
13.84717,-72.50264,SMC_SC7_137549,SMC105.5.31265,SMC719.19.252,A,15.0
13.85529,-72.49911,SMC_SC7_137594,SMC105.5.31351,SMC719.19.257,A,10.0
13.80929,-72.44114,SMC_SC7_142081,SMC105.5.31252,SMC719.19.360,10,
13.91721,-72.44489,SMC_SC7_142119,SMC108.8.17522,SMC719.19.353,22,
13.99642,-73.30642,SMC_SC7_146994,SMC106.6.8893,SMC726.15.5483,A,29.0
14.09175,-73.18814,SMC_SC7_152889,SMC106.6.41258,SMC726.15.29203,M,1.0
14.02487,-73.19261,SMC_SC7_153053,SMC106.6.41350,SMC726.15.29901,10,
14.0545,-73.13714,SMC_SC7_156635,SMC106.5.16029,SMC726.15.30129,15,
14.14329,-73.07553,SMC_SC7_160496,SMC106.5.44670,SMC719.01.205,10,
14.00879,-73.09425,SMC_SC7_160539,SMC106.5.37091,SMC719.02.651,A,3.0
14.1515,-73.03639,SMC_SC7_164647,SMC105.8.15153,SMC719.01.30,4,
14.16287,-73.01706,SMC_SC7_164814,SMC105.8.15640,SMC719.01.1855,M,21.0
14.02896,-73.00069,SMC_SC7_168739,SMC105.8.15194,SMC719.02.448,A,0.0
14.12062,-72.90317,SMC_SC7_173318,SMC105.8.42085,SMC719.01.29312,8,
14.16883,-72.87986,SMC_SC7_177166,SMC105.7.15524,SMC719.01.28964,A,0.0
13.65654,-73.08239,SMC_SC7_18238,SMC106.5.28402,SMC719.02.105,13,
14.16642,-72.75667,SMC_SC7_185540,SMC105.7.40523,SMC719.09.16,4,
14.17437,-72.74036,SMC_SC7_185542,SMC105.6.14384,SMC719.09.21,0,
14.06025,-72.68147,SMC_SC7_189615,SMC105.6.14380,SMC719.09.37,A,2.0
14.032,-72.70858,SMC_SC7_189708,SMC105.6.14701,SMC726.32.1592,16,
14.06096,-72.63194,SMC_SC7_193707,SMC105.6.39454,SMC719.09.29033,6,
14.12671,-72.60786,SMC_SC7_193787,SMC105.6.39517,SMC719.09.29305,A,16.0
14.17712,-72.58572,SMC_SC7_197630,SMC105.5.12986,SMC719.09.29146,1,
14.01946,-72.56153,SMC_SC7_197672,SMC105.5.13002,6,,
14.18175,-72.58014,SMC_SC7_197714,SMC105.5.13131,SMC719.09.29804,15,
13.60987,-73.30653,SMC_SC7_2014,SMC106.6.2161,SMC726.16.11760,A,24.0
14.18471,-72.48506,SMC_SC7_201667,SMC105.5.37314,SMC719.18.15,4,
14.17996,-72.52167,SMC_SC7_201685,SMC105.5.13026,SMC719.09.29455,2,
14.06117,-72.49153,SMC_SC7_201714,SMC105.5.37469,SMC719.18.590,A,19.0
14.08662,-72.47606,SMC_SC7_205871,SMC105.5.37281,SMC719.18.26,A,3.0
14.07729,-72.44583,SMC_SC7_205896,SMC108.8.17473,SMC719.18.60,A,17.0
14.06687,-72.46633,SMC_SC7_205928,SMC105.5.37348,SMC719.18.300,16,
14.11087,-72.43969,SMC_SC7_206053,SMC105.5.37529,SMC719.18.368,A,17.0
14.08692,-72.46622,SMC_SC7_206109,SMC105.5.37787,SMC719.18.1700,A,11.0
14.10158,-72.46581,SMC_SC7_206113,SMC105.5.37520,SMC719.18.697,A,14.0
14.39087,-73.28514,SMC_SC7_214519,SMC106.6.20848,SMC726.15.1093,A,0.0
14.38058,-72.857,SMC_SC7_240139,SMC105.7.21756,SMC719.01.28993,M,15.0
14.38054,-72.78686,SMC_SC7_244041,SMC105.7.46327,SMC719.09.475,A,5.0
14.35792,-72.72467,SMC_SC7_247688,SMC105.6.20442,SMC719.09.92,23,
14.32892,-72.72144,SMC_SC7_247709,SMC105.6.20440,SMC719.09.97,7,
14.36287,-72.62272,SMC_SC7_255913,SMC105.6.46234,SMC719.09.30448,A,19.0
