OGLE,Ori,DC,DDC,Nou,Mass,Group
lmc_sc4_185099,P,0.367,1.0,0.466,0.0,1
lmc_sc4_185183,P,0.556,1.0,0.311,0.0,1
lmc_sc4_195521,P,0.168,0.644,0.269,5.2,3
lmc_sc4_203859,P,0.444,0.909,0.311,9.5,3
lmc_sc4_204453,P,0.492,1.0,0.673,0.0,1
lmc_sc4_20989,P,0.27,1.0,0.311,0.0,1
lmc_sc4_21296,P,0.191,0.753,0.104,5.2,3
lmc_sc4_220111,P,0.568,1.0,0.311,0.0,1
lmc_sc4_227070,P,0.481,0.913,0.155,9.0,3
lmc_sc4_227081,E,0.288,0.987,0.569,10.2,3
lmc_sc4_227083,P,0.559,1.0,1.19,0.0,1
lmc_sc4_227108,P,0.784,1.0,0.259,0.0,1
lmc_sc4_245792,P,0.11,0.291,0.104,5.0,3
lmc_sc4_271563,P,0.402,0.828,0.155,5.7,3
lmc_sc4_278849,P,0.303,1.0,0.776,0.0,1
lmc_sc4_279146,P,0.96,1.0,0.104,0.0,1
lmc_sc4_28264,P,0.806,1.0,0.207,0.0,1
lmc_sc4_287565,P,0.248,1.0,0.104,0.0,1
lmc_sc4_296014,P,0.403,0.926,0.362,10.5,3
lmc_sc4_296081,P,0.293,1.0,0.045,0.0,1
lmc_sc4_296191,P,0.308,0.865,0.362,12.6,3
lmc_sc4_296215,P,0.727,1.0,0.104,0.0,1
lmc_sc4_296423,P,0.21,0.971,0.362,9.5,3
lmc_sc4_296492,P,0.922,1.0,0.104,0.0,1
lmc_sc4_296591,P,0.278,0.871,0.104,0.0,1
lmc_sc4_297014,P,0.892,1.0,0.0,0.0,1
lmc_sc4_314883,P,0.851,1.0,0.518,0.0,1
lmc_sc4_314952,P,0.014,0.085,0.104,6.4,3
lmc_sc4_339139,E,0.439,0.971,0.673,0.0,1
lmc_sc4_339157,P,0.639,1.0,0.466,0.0,1
lmc_sc4_339184,P,0.693,1.0,0.414,0.0,1
lmc_sc4_346184,P,0.377,0.858,0.725,10.4,3
lmc_sc4_346186,P,0.315,0.804,0.466,9.9,3
lmc_sc4_346220,P,0.238,0.605,0.311,7.5,3
lmc_sc4_346243,P,0.014,0.105,0.104,8.4,3
lmc_sc4_346331,P,0.515,1.0,0.207,0.0,1
lmc_sc4_346381,P,0.279,1.0,0.052,0.0,1
lmc_sc4_36261,P,0.584,1.0,0.466,0.0,1
lmc_sc4_36297,P,0.888,1.0,0.311,0.0,1
lmc_sc4_36403,P,0.153,0.392,0.155,5.9,3
lmc_sc4_36453,P,0.868,1.0,0.362,0.0,1
lmc_sc4_36576,P,0.501,1.0,0.0,0.0,1
lmc_sc4_369726,P,0.42,0.983,0.828,16.6,3
lmc_sc4_383690,P,0.442,0.692,0.155,7.5,3
lmc_sc4_391311,P,0.425,0.995,1.449,7.1,3
lmc_sc4_391540,P,0.663,0.98,0.259,5.6,3
lmc_sc4_399467,P,0.147,0.811,0.311,8.1,3
lmc_sc4_399487,P,0.509,1.0,1.294,0.0,1
lmc_sc4_399706,P,0.071,0.433,0.155,5.4,3
lmc_sc4_408771,P,0.331,0.975,0.569,14.7,3
lmc_sc4_408905,P,0.446,1.0,1.812,0.0,1
lmc_sc4_408915,P,0.309,1.0,0.311,0.0,1
lmc_sc4_409025,P,0.25,1.0,0.052,0.0,1
lmc_sc4_409168,P,0.475,0.925,0.207,11.5,3
lmc_sc4_417891,P,0.26,0.826,0.362,10.7,3
lmc_sc4_417934,E,0.378,1.0,0.621,0.0,1
lmc_sc4_418135,P,0.763,1.0,0.311,0.0,1
lmc_sc4_418166,P,0.281,0.624,0.207,6.8,3
